SMA-10,SMA-20,EMA-10,EMA-20,MACD-10,MACD_Signal-10,MACD_Hist-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
145.9133,146.4035,146.1251,145.6471,0.7082,0.7994,-0.0913,49.1800,53.2830,54.5819,53.9953,13.4767,7.5054,46.8682,7.0085,10.0000,90.0000,15.0000,55.0000,147.8347,143.9918,149.0598,143.7473,1037917474.5894,845912362.0000
145.8047,146.4104,146.0347,145.5540,0.7156,0.8223,-0.1067,56.2318,60.2236,49.6541,51.9302,14.1224,7.6957,132.1877,65.2006,20.0000,100.0000,20.0000,60.0000,147.6965,143.9129,149.0687,143.7521,1040153576.4242,851067819.0000
145.6913,146.5185,146.1435,145.5549,0.8152,0.8489,-0.0338,54.4371,67.0044,58.8485,55.7330,14.8400,7.8960,18.4277,-40.7616,30.0000,60.0000,25.0000,65.0000,147.7596,143.6230,149.2028,143.8341,1037113422.9958,845809692.0000
145.5197,146.3300,145.9257,145.3898,0.7696,0.8574,-0.0877,70.0020,74.9932,57.6123,55.1874,14.2210,7.8374,91.8741,9.0214,40.0000,70.0000,30.0000,0.0000,147.3558,143.6835,149.3286,143.3315,1040821369.0599,852198081.0000
145.3727,146.0711,145.7208,145.2364,0.7285,0.8793,-0.1508,76.5741,79.6845,51.2587,52.5065,15.0018,8.0954,96.0647,10.2059,50.0000,0.0000,35.0000,0.0000,146.9814,143.7640,149.6789,142.4633,1042949070.9193,856294701.0000
145.6676,145.8363,145.7664,145.2069,0.8010,0.9170,-0.1160,78.4037,76.9961,56.2625,54.5504,15.3750,8.2737,47.9355,5.0063,60.0000,0.0000,40.0000,0.0000,148.1288,143.2064,150.1081,141.5645,1039556337.9827,852659630.0000
145.8462,145.5581,145.6270,145.0820,0.7924,0.9460,-0.1536,84.0758,66.1290,60.4389,56.1846,15.7896,8.4615,71.9325,44.1123,70.0000,10.0000,45.0000,5.0000,148.7171,142.9752,150.3424,140.7738,1040699833.3482,857497495.0000
145.9281,145.2508,145.3032,144.8713,0.6997,0.9844,-0.2847,68.5090,45.1172,50.4634,52.0732,17.4811,8.8567,-52.9579,-12.9316,80.0000,0.0000,50.0000,10.0000,148.9767,142.8794,150.3806,140.1211,1041827575.5741,852004299.0000
146.1855,144.9746,145.3699,144.8574,0.7831,1.0556,-0.2725,45.8024,25.4788,47.0462,50.8267,16.7252,8.8530,-43.5437,6.0775,90.0000,10.0000,55.0000,15.0000,149.3120,143.0590,150.6896,139.2596,1037665421.5741,856166453.0000
146.5643,144.7665,145.5831,144.9044,0.9384,1.1237,-0.1853,21.0403,12.2599,48.3984,51.3982,16.1906,8.9208,-120.3533,-28.1515,100.0000,20.0000,60.0000,0.0000,149.6567,143.4720,150.8404,138.6926,1035774803.4061,852086698.0000
146.8938,144.4996,145.7844,144.9284,1.0959,1.1700,-0.0741,9.5939,8.8126,52.3071,53.0346,15.1195,8.9068,-98.3428,9.3122,90.0000,30.0000,65.0000,0.0000,149.8087,143.9789,151.0184,137.9808,1035514522.6987,860344695.0000
147.0161,144.1667,145.8594,144.8738,1.2026,1.1885,0.0141,6.1456,14.0833,47.1344,51.0411,16.0398,9.3754,-133.7850,12.2668,100.0000,40.0000,70.0000,0.0000,149.7764,144.2559,151.1235,137.2099,1035340332.0763,854422214.0000
147.3456,143.8219,146.1813,144.9225,1.4268,1.1850,0.2418,10.6985,27.1790,52.0187,53.1008,17.0247,9.8621,-147.9021,28.1877,0.0000,50.0000,75.0000,5.0000,149.5044,145.1869,151.3557,136.2882,1036815337.5165,858911361.0000
147.1404,143.3948,146.3533,144.8715,1.5907,1.1245,0.4661,25.4058,42.9606,51.8854,53.0473,18.8350,10.2335,-108.6947,42.5009,0.0000,60.0000,80.0000,0.0000,150.1995,144.0814,151.4698,135.3197,1041032723.5805,863753545.0000
146.7695,143.0081,146.5702,144.8183,1.7798,1.0080,0.7718,45.4327,57.7847,70.1952,59.8046,20.8965,10.6000,-5.7005,65.0080,0.0000,70.0000,85.0000,5.0000,151.1901,142.3489,151.4008,134.6154,1044944723.6268,869428700.0000
146.0050,142.5183,146.1490,144.4344,1.6808,0.8151,0.8658,58.0431,67.7574,69.2916,59.3488,23.0266,10.9493,64.5745,95.5217,0.0000,80.0000,90.0000,10.0000,151.5015,140.5085,150.7211,134.3155,1047049528.9863,874834567.0000
145.2701,142.0882,145.6979,144.0402,1.5593,0.5986,0.9607,69.8784,76.6092,68.4607,58.9216,23.0521,10.8137,57.7869,99.5387,10.0000,90.0000,95.0000,15.0000,151.3424,139.1978,149.9537,134.2226,1050855455.6074,881400836.0000
144.5736,141.7829,145.2078,143.6336,1.4095,0.3584,1.0511,75.3508,81.3128,67.5287,58.4324,23.4088,10.7509,87.3757,133.2665,20.0000,100.0000,100.0000,20.0000,150.8716,138.2756,149.1821,134.3836,1046772680.4028,875490643.0000
143.7637,141.4805,144.6813,143.2184,1.2311,0.0957,1.1354,84.5986,85.3958,71.1406,59.7222,21.8549,10.2955,84.3396,142.5891,30.0000,90.0000,95.0000,25.0000,150.3831,137.1443,148.3856,134.5754,1051115187.5810,869914761.0000
142.9686,141.2615,143.8996,142.6941,0.9221,-0.1882,1.1103,83.9892,84.9891,70.6244,59.4115,20.9693,10.0456,109.2855,170.9433,0.0000,100.0000,100.0000,30.0000,149.1625,136.7748,147.5508,134.9722,1049641560.6740,863725528.0000
142.1054,140.8926,142.9946,142.1386,0.5374,-0.4657,1.0032,87.5996,81.0903,67.6338,57.6294,19.6765,9.7221,111.8526,175.0473,0.0000,90.0000,95.0000,35.0000,147.6404,136.5705,146.3783,135.4068,1051885481.4826,856285159.0000
