SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Lower Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
120.8682,122.1309,120.2513,121.4106,-0.5712,-1.1654,-0.5942,24.3435,19.9693,33.6314,41.2817,20.4652,13.7890,-94.2861,-145.9181,30.0000,90.0000,25.0000,95.0000,116.3995,125.3368,127.2939,116.9679,454712756.8158,361988683.0000
121.1926,122.4115,120.8075,121.7960,-0.5195,-0.9709,-0.4514,17.1171,20.1164,33.9199,41.4481,19.4202,14.0260,-139.5595,-184.2350,40.0000,100.0000,30.0000,100.0000,117.2351,125.1501,127.1867,117.6363,452859229.1646,359034997.0000
121.5931,122.6878,121.4642,122.2112,-0.3976,-0.7191,-0.3215,18.4472,28.8568,40.0262,44.8413,18.2590,14.2756,-114.2724,-149.7307,50.0000,100.0000,35.0000,100.0000,118.3169,124.8693,126.9922,118.3835,452643071.1407,362581157.0000
121.8012,122.9457,121.8122,122.4546,-0.3735,-0.5956,-0.2221,24.7848,42.5160,39.3633,44.5504,18.3697,14.9472,-104.4664,-129.6252,60.0000,90.0000,40.0000,95.0000,118.7237,124.8786,127.1678,118.7236,455585153.1907,366520555.0000
121.9412,123.1730,122.2681,122.7382,-0.2866,-0.4153,-0.1287,43.3384,58.3909,35.9503,43.0207,19.4162,15.5643,-168.8010,-178.3832,70.0000,100.0000,45.0000,100.0000,119.1322,124.7502,127.1681,119.1779,455523532.1700,363562746.0000
122.3997,123.3103,122.9898,123.1296,-0.0466,-0.1037,-0.0571,59.4250,64.8757,50.2827,50.4619,19.7838,16.3778,61.8740,-14.1156,0.0000,40.0000,50.0000,70.0000,120.2210,124.5784,126.8925,119.7280,452466948.1991,368874187.0000
122.8957,123.2669,122.9471,123.1240,-0.0828,-0.1283,-0.0454,72.4094,60.7259,53.1285,51.7309,19.3688,16.1870,71.4582,24.2974,10.0000,50.0000,55.0000,75.0000,118.8082,126.9832,126.8752,119.6585,457335987.1868,374265757.0000
123.2063,123.2644,122.7568,123.0525,-0.1963,-0.2210,-0.0247,62.7927,45.5493,54.3142,52.2661,18.9077,15.9861,46.0989,29.3684,20.0000,60.0000,60.0000,80.0000,118.4696,127.9430,126.8714,119.6574,455280867.6783,371094495.0000
123.0219,123.2486,122.4651,122.9455,-0.3876,-0.3632,0.0244,46.9756,29.5012,44.2837,47.6553,17.3693,15.5618,-21.2371,-54.7060,30.0000,70.0000,65.0000,85.0000,118.2904,127.7534,126.8441,119.6531,455390530.4498,367305037.0000
123.2044,123.3566,122.6388,123.0784,-0.4177,-0.2965,0.1212,26.8795,16.6739,44.1925,47.6156,17.7681,15.5827,-39.2617,-75.6602,40.0000,80.0000,70.0000,90.0000,118.5534,127.8553,126.8867,119.8265,457300502.8266,364389816.0000
123.3937,123.4641,122.8556,123.2273,-0.4307,-0.2050,0.2257,14.6484,11.5314,41.2520,46.2992,18.2313,15.6089,-80.6456,-126.7660,50.0000,90.0000,75.0000,95.0000,118.8563,127.9311,126.9113,120.0168,459458658.0841,360747929.0000
123.6304,123.6460,123.2695,123.4625,-0.3503,-0.0170,0.3333,8.4939,11.8785,43.9374,47.7690,19.4062,15.7731,-106.1842,-156.8660,60.0000,100.0000,80.0000,100.0000,119.3808,127.8799,126.9327,120.3593,460377199.4094,357199838.0000
123.7826,123.8538,123.5834,123.6315,-0.2857,0.1353,0.4209,11.4520,23.9047,44.3034,47.9730,20.7117,15.9461,-86.8890,-124.0137,70.0000,90.0000,0.0000,95.0000,119.6919,127.8732,127.1868,120.5207,463592776.0208,361178643.0000
124.0902,124.1876,123.9399,123.8054,-0.1771,0.3152,0.4923,15.6895,38.0019,41.3503,46.5156,21.0364,15.8644,-157.4824,-186.1641,80.0000,100.0000,5.0000,100.0000,120.1276,128.0528,128.0047,120.3704,464328136.4626,357407965.0000
124.4048,124.4030,124.5575,124.0838,0.0870,0.6236,0.5366,44.5727,48.2312,48.2267,50.5338,22.0526,15.9287,-127.9554,-128.5559,90.0000,100.0000,10.0000,100.0000,120.9563,127.8532,127.9921,120.8140,467126256.2449,362618257.0000
124.2208,124.3892,124.7690,124.1341,0.2443,0.7592,0.5149,53.7436,44.0950,66.7598,59.6070,22.6471,15.8670,96.6773,68.7857,100.0000,80.0000,15.0000,90.0000,120.4411,128.0005,127.9925,120.7859,470040196.3008,368636495.0000
123.6380,124.1271,124.0194,123.7122,0.0056,0.4593,0.4538,46.3772,38.2576,63.3117,57.6438,20.5371,15.1728,179.4611,135.2185,100.0000,90.0000,20.0000,95.0000,120.7691,126.5070,127.3420,120.9122,474305073.2859,374353245.0000
123.3225,123.9505,123.3772,123.3757,-0.2569,0.1955,0.4524,32.1641,38.6372,43.1392,48.6306,18.9111,14.6399,-100.1117,-124.7401,50.0000,100.0000,25.0000,100.0000,121.4364,125.2085,126.9128,120.9882,469050424.2032,367760815.0000
123.4753,123.9648,123.6331,123.4968,-0.1839,0.3327,0.5166,36.2315,44.0036,49.8969,51.4788,20.5263,15.0084,-55.3977,-74.1909,60.0000,40.0000,30.0000,0.0000,121.7269,125.2237,126.8963,121.0333,467823237.4802,364605192.0000
123.5088,123.8444,123.6610,123.4956,-0.1901,0.3725,0.5626,47.5161,52.2343,50.1689,51.5892,22.0900,15.1504,49.3373,10.8211,70.0000,50.0000,35.0000,0.0000,121.7465,125.2712,127.0281,120.6607,471433273.1311,369433071.0000
123.5345,123.6524,123.6842,123.4892,-0.1972,0.4129,0.6101,48.2631,55.0006,49.1713,51.1914,21.9395,14.9511,14.4203,4.2295,80.0000,60.0000,40.0000,5.0000,121.7626,125.3063,127.3101,119.9947,469652090.5498,366333131.0000
123.6617,123.5148,123.7563,123.5028,-0.1809,0.4785,0.6594,60.9238,53.1363,49.2601,51.2314,21.9829,14.7820,-13.1549,3.9033,0.0000,70.0000,45.0000,10.0000,121.7791,125.5442,127.4058,119.6238,468979783.5153,362910477.0000
123.9250,123.4777,123.8401,123.5159,-0.1513,0.5533,0.7046,55.8148,38.3739,57.1520,54.6805,22.0311,14.6039,48.4881,52.1350,0.0000,80.0000,50.0000,15.0000,121.5916,126.2583,127.3873,119.5682,471094092.5004,366299164.0000
124.2849,123.3738,123.5700,123.3538,-0.2724,0.4700,0.7425,42.6705,25.3274,54.1997,53.3466,21.3112,14.2688,-0.2662,42.8530,10.0000,90.0000,55.0000,20.0000,120.6293,127.9405,127.2201,119.5276,473688395.0375,369276861.0000
124.4013,123.3065,123.4064,123.2535,-0.3774,0.4332,0.8106,16.6365,16.2011,42.0122,48.4622,21.1327,14.0524,-124.3265,-61.7386,20.0000,100.0000,60.0000,25.0000,120.6769,128.1256,127.1322,119.4808,470763438.3539,365206045.0000
124.5576,123.4306,123.7708,123.4101,-0.2664,0.6385,0.9049,16.6753,16.7492,44.3016,49.5251,23.3434,14.3318,-124.7891,-49.1154,30.0000,100.0000,65.0000,30.0000,121.1731,127.9421,127.2092,119.6521,469247632.0049,361820994.0000
124.6162,123.6113,124.0945,123.5254,-0.1360,0.8355,0.9715,15.2916,17.1774,50.8529,52.3926,25.4389,14.4985,-75.3579,-5.4843,40.0000,0.0000,70.0000,35.0000,121.3717,127.8607,127.5029,119.7197,470392867.9391,364382158.0000
124.5786,123.7248,124.1702,123.5014,-0.0774,0.9281,1.0055,18.2806,22.5104,50.8529,52.3926,26.8675,14.4982,-32.3565,19.4114,50.0000,0.0000,75.0000,40.0000,121.2865,127.8706,127.7565,119.6932,472863874.2811,368126107.0000
124.4542,123.9698,124.2627,123.4748,0.0080,1.0329,1.0248,17.9599,30.1174,51.2312,52.5619,27.4433,14.3074,-25.8180,11.6251,60.0000,0.0000,80.0000,45.0000,120.9594,127.9491,128.5383,119.4013,472635115.9481,365243752.0000
124.1799,123.9621,124.3560,123.4361,0.1197,1.1425,1.0228,31.2907,45.8689,51.1221,52.5133,27.8531,14.0635,-2.8946,16.9539,70.0000,0.0000,85.0000,50.0000,120.1469,128.2129,128.5319,119.3922,475801924.4909,368580211.0000
123.7703,123.8858,124.4767,123.3964,0.2760,1.2689,0.9929,41.1015,62.5601,54.1371,53.9663,28.3315,13.8117,33.2688,42.4138,80.0000,10.0000,90.0000,55.0000,118.9220,128.6187,128.5136,119.2579,473879975.5738,365616458.0000
123.3679,123.7126,124.4422,123.2663,0.4044,1.3283,0.9239,65.2144,80.2817,59.4607,56.4700,27.8320,13.3417,96.7091,108.7707,90.0000,20.0000,95.0000,60.0000,118.2140,128.5219,128.4732,118.9520,476033298.9051,368787716.0000
123.0305,123.4450,124.0934,122.9773,0.4216,1.2444,0.8228,81.3644,87.7016,71.5892,61.6735,25.8718,12.5775,172.9301,171.6570,100.0000,30.0000,100.0000,0.0000,118.1803,127.8807,128.2598,118.6303,476523908.6639,372317893.0000
122.4628,122.8960,123.0797,122.3797,0.1326,0.8500,0.7174,94.2661,89.7846,63.5173,57.1530,22.7192,11.5914,174.0783,122.8745,100.0000,40.0000,30.0000,5.0000,119.3671,125.5585,127.7137,118.0783,481162305.0558,377319069.0000
