SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
150.9433,149.1889,150.0274,149.2663,-0.3410,1.2175,1.5585,51.0941,41.2942,42.0093,49.6737,19.8673,9.8557,-245.2632,-42.4477,100.0000,90.0000,10.0000,95.0000,154.2046,147.6821,153.9955,144.3823,1058090334.2942,876891769.0000
151.2574,149.1407,150.5770,149.4466,-0.0863,1.5574,1.6438,60.1478,46.6213,45.4632,51.8972,21.6148,10.2382,-122.6511,32.4846,100.0000,100.0000,15.0000,100.0000,153.6388,148.8760,154.0304,144.2510,1059786684.6849,884091834.0000
151.3439,148.9931,151.0370,149.5454,0.2063,1.8717,1.6653,73.9669,65.3668,67.8448,64.0378,22.8956,10.2783,38.5919,79.1335,0.0000,80.0000,20.0000,90.0000,153.3532,149.3347,154.1227,143.8635,1065435501.0525,892764642.0000
150.9039,148.6749,150.6546,149.2073,0.1990,1.8127,1.6138,82.5661,68.4555,57.7387,59.1364,25.0657,10.6362,9.7480,70.3056,0.0000,90.0000,0.0000,95.0000,153.3599,148.4478,153.6171,143.7327,1059907009.0650,885882786.0000
150.6636,148.4132,150.6970,149.0751,0.3807,1.9447,1.5640,87.9646,88.0784,75.1253,66.1435,27.0654,10.7530,99.3570,123.5274,0.0000,100.0000,5.0000,100.0000,153.6564,147.6708,153.5010,143.3254,1061653456.2151,892192023.0000
150.1271,148.0641,150.3318,148.7313,0.4250,1.8938,1.4689,86.1020,91.1645,77.6874,67.0622,25.1507,10.0950,95.7637,133.1281,0.0000,100.0000,0.0000,100.0000,153.6086,146.6456,152.9814,143.1467,1061179117.3822,898554706.0000
149.4938,147.6251,149.8346,148.3274,0.4154,1.7780,1.3626,83.2829,84.6508,75.5323,65.7660,23.7110,9.5774,96.0454,142.5635,0.0000,100.0000,5.0000,100.0000,153.2605,145.7270,152.4215,142.8287,1056143145.6440,893159022.0000
148.9023,147.2722,149.3727,147.9499,0.4124,1.6711,1.2587,84.5609,82.4905,73.1253,64.3946,22.5726,9.1446,85.1860,137.8681,0.0000,90.0000,10.0000,95.0000,152.8180,144.9867,151.7848,142.7595,1052846722.3392,887583590.0000
148.5422,146.9382,148.9581,147.6037,0.4235,1.5791,1.1556,84.8637,82.7075,72.2584,63.9098,21.9779,8.8459,123.9194,175.6709,0.0000,100.0000,15.0000,100.0000,152.1852,144.8992,151.2095,142.6669,1047627387.7465,879575298.0000
147.9405,146.6304,148.5043,147.2462,0.4132,1.4630,1.0498,86.3126,88.4848,73.0537,64.2213,19.3677,8.2098,140.2416,197.5566,10.0000,100.0000,20.0000,100.0000,151.7450,144.1360,150.5600,142.7008,1048848095.4657,883438775.0000
147.4344,146.3355,147.9299,146.8417,0.3379,1.2844,0.9465,82.6914,83.3989,71.8214,63.4746,16.6130,7.5805,173.8850,225.7274,20.0000,100.0000,25.0000,100.0000,150.7428,144.1260,149.7314,142.9395,1046629533.1703,878050838.0000
147.0240,146.1066,147.3155,146.4361,0.2159,1.0779,0.8620,78.2880,87.0542,67.3143,60.8761,13.7670,6.9789,145.6206,183.7762,30.0000,100.0000,30.0000,100.0000,149.5349,144.5131,148.8510,143.3622,1043817526.4902,871328079.0000
146.6423,146.0173,146.8583,146.1270,0.1252,0.9333,0.8080,66.8410,77.6210,63.2476,58.7322,12.6696,6.8588,161.3491,165.7576,40.0000,100.0000,35.0000,100.0000,148.7346,144.5499,148.4266,143.6080,1039709594.9826,866453340.0000
146.4460,145.9986,146.5253,145.8923,0.0618,0.8385,0.7767,60.4620,70.1887,62.0086,58.0968,11.4502,6.7324,149.2047,115.4372,0.0000,60.0000,40.0000,0.0000,148.1989,144.6931,148.3397,143.6575,1040124617.1601,858637089.0000
146.1628,145.9813,146.1841,145.6640,-0.0257,0.7356,0.7613,53.4591,52.7132,57.2528,55.7223,12.0377,7.0015,125.8398,77.6959,10.0000,70.0000,45.0000,5.0000,147.6796,144.6460,148.2657,143.6969,1035858554.2996,854314522.0000
146.0011,146.0114,146.0082,145.5259,-0.0638,0.7039,0.7677,54.6319,58.4841,53.6959,54.0351,12.6905,7.2848,49.0127,21.7820,0.0000,80.0000,50.0000,10.0000,147.4812,144.5209,148.3623,143.6605,1036857427.3407,850152551.0000
145.7564,146.0662,145.9576,145.4512,-0.0550,0.7286,0.7837,53.2830,49.1800,52.5590,53.4965,13.4767,7.5054,46.8682,7.0085,10.0000,90.0000,55.0000,15.0000,147.7277,143.7851,148.4854,143.6469,1037917474.5894,845912362.0000
145.6420,146.1278,145.9484,145.3935,-0.0238,0.7737,0.7974,60.2236,56.2318,62.0412,57.9597,14.1224,7.6957,132.1877,65.2006,20.0000,100.0000,60.0000,20.0000,147.6755,143.6084,148.5994,143.6563,1040153576.4242,851067819.0000
145.3342,146.0588,145.5732,145.1574,-0.1502,0.6532,0.8034,67.0044,54.4371,48.4873,51.7644,14.8400,7.8960,18.4277,-40.7616,30.0000,60.0000,65.0000,25.0000,146.9572,143.7112,148.4331,143.6844,1037113422.9958,845809692.0000
145.3204,146.1056,145.7043,145.1758,-0.0809,0.7600,0.8409,74.9932,70.0020,55.5177,54.7868,14.2210,7.8374,91.8741,9.0214,40.0000,70.0000,0.0000,30.0000,146.9574,143.6834,148.4296,143.7816,1040821369.0599,852198081.0000
145.2365,145.9665,145.6323,145.0860,-0.0822,0.7789,0.8611,79.6845,76.5741,59.7075,56.4711,15.0018,8.0954,96.0647,10.2059,50.0000,0.0000,0.0000,35.0000,146.8043,143.6688,148.6041,143.3289,1042949070.9193,856294701.0000
145.1892,145.6592,145.4192,144.9276,-0.1472,0.7345,0.8817,76.9961,78.4037,53.9452,53.9960,15.3750,8.2737,47.9355,5.0063,60.0000,0.0000,0.0000,40.0000,146.6124,143.7660,149.2087,142.1098,1039556337.9827,852659630.0000
145.3924,145.4097,145.3890,144.8615,-0.1459,0.7725,0.9185,66.1290,84.0758,60.2197,56.4652,15.7896,8.4615,71.9325,44.1123,70.0000,10.0000,5.0000,45.0000,147.4190,143.3658,149.5978,141.2216,1040699833.3482,857497495.0000
145.5512,145.1566,145.1657,144.7002,-0.2305,0.7245,0.9549,45.1172,68.5090,53.4558,53.6712,17.4811,8.8567,-52.9579,-12.9316,80.0000,0.0000,10.0000,50.0000,148.0587,143.0437,149.6748,140.6384,1041827575.5741,852004299.0000
145.7998,144.9411,145.1515,144.6445,-0.2414,0.7711,1.0125,25.4788,45.8024,54.3725,54.0342,16.7252,8.8530,-43.5437,6.0775,90.0000,10.0000,15.0000,55.0000,148.6056,142.9940,149.8216,140.0606,1037665421.5741,856166453.0000
