SMA-10,SMA-20,EMA-10,EMA-20,MACD_Hist-10,MACD-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
122.9681,123.1939,122.6701,122.6522,-0.2395,0.2074,0.4469,15.6895,38.0019,42.9452,47.4736,21.0364,15.8644,-157.4824,-186.1641,100.0000,80.0000,5.0000,100.0000,126.1031,119.8330,126.5328,119.8549,464328136.4626,357407965.0000
123.1288,123.3546,123.1611,122.8829,-0.0541,0.4527,0.5068,44.5727,48.2312,49.0267,50.7287,22.0526,15.9287,-127.9554,-128.5559,100.0000,90.0000,10.0000,100.0000,125.8736,120.3839,126.4525,120.2567,467126256.2449,362618257.0000
122.9967,123.3127,123.2814,122.9106,0.0188,0.5392,0.5203,53.7436,44.0950,63.1358,57.2696,22.6471,15.8670,96.6773,68.7857,80.0000,100.0000,15.0000,90.0000,125.9463,120.0470,126.4713,120.1541,470040196.3008,368636495.0000
122.5046,123.0761,122.5869,122.5426,-0.2594,0.2562,0.5156,46.3772,38.2576,47.2239,50.1635,20.5371,15.1728,179.4611,135.2185,90.0000,100.0000,20.0000,95.0000,124.5031,120.5061,125.9701,120.1820,474305073.2859,374353245.0000
122.6141,123.1440,122.7176,122.5999,-0.2404,0.3401,0.5805,32.1641,38.6372,42.9072,48.5824,18.9111,14.6399,-100.1117,-124.7401,100.0000,50.0000,25.0000,100.0000,124.6096,120.6185,125.9972,120.2908,469050424.2032,367760815.0000
122.8261,123.1132,123.0680,122.7534,-0.1110,0.5296,0.6406,36.2315,44.0036,53.8408,52.9878,20.5263,15.0084,-55.3977,-74.1909,40.0000,60.0000,30.0000,0.0000,124.5873,121.0649,126.0639,120.1626,467823237.4802,364605192.0000
122.8261,122.9485,122.9703,122.6741,-0.1455,0.5228,0.6683,47.5161,52.2343,52.5252,52.4933,22.0900,15.1504,49.3373,10.8211,50.0000,70.0000,35.0000,0.0000,124.5873,121.0649,126.1498,119.7473,471433273.1311,369433071.0000
122.7511,122.7597,122.9145,122.6164,-0.1690,0.5356,0.7047,48.2631,55.0006,50.9637,51.8966,21.9395,14.9511,14.4203,4.2295,60.0000,80.0000,40.0000,5.0000,124.5024,120.9999,126.3017,119.2177,469652090.5498,366333131.0000
122.8852,122.6373,122.9252,122.5901,-0.1666,0.5804,0.7469,60.9238,53.1363,52.4738,52.5057,21.9829,14.7820,-13.1549,3.9033,70.0000,0.0000,45.0000,10.0000,124.8444,120.9261,126.3224,118.9521,468979783.5153,362910477.0000
123.1475,122.5390,122.8615,122.5247,-0.1947,0.5939,0.7886,55.8148,38.3739,57.0372,54.3229,22.0311,14.6039,48.4881,52.1350,80.0000,0.0000,50.0000,15.0000,125.7933,120.5018,126.2623,118.8157,471094092.5004,366299164.0000
123.4197,122.4502,122.5537,122.3434,-0.3402,0.4970,0.8373,42.6705,25.3274,48.5639,50.9270,21.3112,14.2688,-0.2662,42.8530,90.0000,10.0000,55.0000,20.0000,126.8925,119.9469,126.0901,118.8103,473688395.0375,369276861.0000
123.5804,122.4237,122.6616,122.3724,-0.3342,0.5881,0.9223,16.6365,16.2011,45.1262,49.6724,21.1327,14.0524,-124.3265,-61.7386,100.0000,20.0000,60.0000,25.0000,126.9348,120.2260,126.0821,118.7654,470763438.3539,365206045.0000
123.6287,122.5145,122.9645,122.4854,-0.2317,0.7741,1.0059,16.6753,16.7492,45.7972,49.9680,23.3434,14.3318,-124.7891,-49.1154,100.0000,30.0000,65.0000,30.0000,126.8620,120.3955,126.1467,118.8823,469247632.0049,361820994.0000
123.6475,122.7234,123.2931,122.5907,-0.0826,0.9812,1.0638,15.2916,17.1774,51.7373,52.5152,25.4389,14.4985,-75.3579,-5.4843,0.0000,40.0000,70.0000,35.0000,126.8326,120.4624,126.5694,118.8775,470392867.9391,364382158.0000
