SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Lower Band-10-10,Real Middle Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
146.6257,148.3446,147.1743,147.8329,-0.1021,-0.7087,-0.6067,79.3370,66.6331,53.6837,51.4430,15.6559,8.2696,106.3802,28.1694,30.0000,0.0000,10.0000,65.0000,149.6290,143.6223,153.3044,143.3847,1042657978.0831,897882568.0000
146.6584,148.5606,146.8383,147.7430,-0.3238,-0.9050,-0.5812,68.5464,51.5218,46.6338,47.4712,14.9797,8.1139,30.5055,-35.7553,40.0000,0.0000,15.0000,70.0000,149.7566,143.5602,153.9211,143.2000,1039163046.4921,889394877.0000
146.9236,148.8823,146.8270,147.8330,-0.4591,-0.9593,-0.5002,52.0160,35.9273,47.9774,48.2375,15.7706,8.3733,27.3030,-34.2516,50.0000,10.0000,20.0000,75.0000,150.4758,143.3714,154.5656,143.1990,1038653400.1297,896165893.0000
147.0407,149.1509,146.7317,147.8937,-0.6667,-1.0521,-0.3854,34.0030,26.1192,39.2994,43.4571,16.2565,8.5517,-55.8122,-102.5717,60.0000,20.0000,25.0000,80.0000,150.7047,143.3768,155.0066,143.2952,1040184503.1311,890322704.0000
147.2672,149.4990,147.0653,148.1740,-0.7302,-0.9490,-0.2188,21.7629,27.5177,34.4774,40.9160,17.3522,8.7467,-102.9893,-137.4264,70.0000,30.0000,30.0000,85.0000,150.7299,143.8044,155.2069,143.7911,1037418898.6323,884791495.0000
147.7170,149.8664,147.6937,148.5884,-0.6662,-0.7024,-0.0362,22.5918,33.7812,41.2626,45.3712,17.4205,8.6727,-91.6115,-119.6494,80.0000,0.0000,35.0000,90.0000,150.6105,144.8235,155.0984,144.6344,1035214116.9576,879176651.0000
148.0695,150.1405,147.9542,148.8060,-0.7404,-0.6101,0.1303,38.1985,41.7843,29.2815,39.3724,18.4225,8.8437,-176.7286,-163.0123,90.0000,10.0000,40.0000,95.0000,151.1476,144.9915,155.2148,145.0662,1043666019.1016,870392215.0000
148.6197,150.5153,148.7581,149.2764,-0.5764,-0.2609,0.3154,40.5532,42.6746,37.3150,44.8606,16.7000,8.3673,-207.3240,-154.8938,100.0000,20.0000,45.0000,100.0000,150.6050,146.6343,154.8770,146.1537,1045777887.8414,875688132.0000
148.9196,150.7490,149.1713,149.5267,-0.5318,-0.0723,0.4595,46.6013,44.4785,44.6679,49.2044,14.7861,7.8658,-14.7294,-71.4764,90.0000,0.0000,50.0000,95.0000,150.6661,147.1730,154.8003,146.6978,1046829478.5231,883262633.0000
149.4975,150.7952,149.2967,149.6235,-0.5969,-0.0044,0.5925,40.8693,42.1907,38.1647,46.2736,15.5268,8.1441,-118.3573,-117.1083,100.0000,10.0000,55.0000,100.0000,153.1892,145.8058,154.7681,146.8224,1037972420.4226,871088589.0000
150.0635,150.8921,149.6751,149.8372,-0.5563,0.1854,0.7417,45.9649,36.5482,44.8098,50.1256,14.8550,8.1180,-20.4564,-62.9458,60.0000,20.0000,60.0000,80.0000,154.1308,145.9963,154.6358,147.1483,1038692141.6464,876550003.0000
150.4627,150.8449,149.8221,149.9238,-0.6004,0.2804,0.8808,39.7380,28.3977,47.5728,51.6391,15.9589,8.3030,-11.4015,-45.9725,70.0000,30.0000,65.0000,85.0000,154.8133,146.1121,154.7041,146.9857,1042763298.1869,880873505.0000
150.8411,150.7779,149.8847,149.9642,-0.6868,0.3441,1.0309,23.9416,19.7329,40.6078,48.5184,16.9175,8.4412,-50.6691,-69.8451,80.0000,40.0000,70.0000,90.0000,155.4550,146.2271,154.7698,146.7860,1045114391.8730,877214284.0000
151.2611,150.7225,150.2085,150.1259,-0.6691,0.5335,1.2026,21.5135,17.7944,33.9830,45.7260,17.9870,8.8429,-94.0279,-100.8842,90.0000,50.0000,75.0000,95.0000,155.6806,146.8417,154.8708,146.5742,1047452146.9668,872838486.0000
151.7308,150.7064,150.8115,150.4029,-0.5073,0.8625,1.3699,13.7435,14.9722,39.2185,49.0898,17.5619,8.9579,-117.0350,-95.8300,100.0000,60.0000,80.0000,0.0000,155.3806,148.0811,154.9068,146.5060,1046623790.9657,868903795.0000
152.0158,150.6801,151.2728,150.5784,-0.3531,1.1436,1.4967,18.1263,24.1558,45.9460,53.0012,17.0896,9.0789,-76.8377,-27.3197,90.0000,70.0000,85.0000,0.0000,155.0844,148.9472,154.9359,146.4243,1051334117.3471,875095595.0000
152.2114,150.5384,151.5453,150.6344,-0.2327,1.3523,1.5850,13.0468,33.6541,44.5849,52.4283,18.5576,9.4265,-168.0391,-63.8275,100.0000,80.0000,90.0000,5.0000,154.9885,149.4344,155.0501,146.0266,1050913674.3098,868134927.0000
152.4110,150.3962,151.9247,150.7182,-0.0230,1.6202,1.6432,41.2942,51.0941,44.8755,52.6024,19.8673,9.8557,-245.2632,-42.4477,100.0000,90.0000,95.0000,10.0000,154.7255,150.0966,155.1594,145.6331,1058090334.2942,876891769.0000
152.5785,150.2334,152.3751,150.8046,0.2835,1.9324,1.6489,46.6213,60.1478,80.3997,68.9926,21.6148,10.2382,-122.6511,32.4846,100.0000,100.0000,100.0000,15.0000,154.3102,150.8469,155.2686,145.1982,1059786684.6849,884091834.0000
152.0930,149.8757,151.9282,150.4275,0.2678,1.8459,1.5781,65.3668,73.9669,76.1062,66.4909,22.8956,10.2783,38.5919,79.1335,0.0000,80.0000,90.0000,20.0000,154.2059,149.9801,154.6916,145.0597,1065435501.0525,892764642.0000
151.7206,149.5775,151.6336,150.1300,0.3128,1.8239,1.5111,68.4555,82.5661,75.0265,65.9180,25.0657,10.6362,9.7480,70.3056,0.0000,90.0000,95.0000,0.0000,154.1695,149.2718,154.2563,144.8987,1059907009.0650,885882786.0000
151.2271,149.1887,151.3286,149.8273,0.3616,1.7945,1.4329,88.0784,87.9646,79.1466,67.3174,27.0654,10.7530,99.3570,123.5274,0.0000,100.0000,100.0000,5.0000,154.3401,148.1141,153.9549,144.4225,1061653456.2151,892192023.0000
150.7147,148.8121,150.8853,149.4593,0.3560,1.6985,1.3425,91.1645,86.1020,76.6188,65.8090,25.1507,10.0950,95.7637,133.1281,0.0000,100.0000,100.0000,0.0000,153.9627,147.4666,153.3988,144.2255,1061179117.3822,898554706.0000
150.1839,148.4535,150.4979,149.1256,0.3686,1.6221,1.2535,84.6508,83.2829,74.8974,64.8400,23.7110,9.5774,96.0454,142.5635,0.0000,100.0000,100.0000,5.0000,153.7286,146.6392,152.9102,143.9968,1056143145.6440,893159022.0000
149.6820,148.1192,150.1215,148.8029,0.3842,1.5455,1.1613,82.4905,84.5609,72.3581,63.4766,22.5726,9.1446,85.1860,137.8681,0.0000,90.0000,95.0000,10.0000,153.3660,145.9981,152.4039,143.8346,1052846722.3392,887583590.0000
149.3443,147.8138,149.7961,148.5100,0.4216,1.4869,1.0653,82.7075,84.8637,77.1970,65.1285,21.9779,8.8459,123.9194,175.6709,0.0000,100.0000,100.0000,15.0000,152.8846,145.8040,151.9343,143.6933,1047627387.7465,879575298.0000
148.8653,147.5131,149.3057,148.1423,0.3881,1.3480,0.9599,88.4848,86.3126,76.6276,64.7760,19.3677,8.2098,140.2416,197.5566,10.0000,100.0000,100.0000,20.0000,152.1221,145.6085,151.2243,143.8019,1048848095.4657,883438775.0000
148.3814,147.2667,148.7438,147.7537,0.3055,1.1683,0.8629,83.3989,82.6914,75.7850,64.2444,16.6130,7.5805,173.8850,225.7274,20.0000,100.0000,100.0000,25.0000,151.1279,145.6350,150.4083,144.1251,1046629533.1703,878050838.0000
147.8882,147.1163,148.1152,147.3517,0.1621,0.9486,0.7865,87.0542,78.2880,67.5632,59.7344,13.7670,6.9789,145.6206,183.7762,30.0000,100.0000,100.0000,30.0000,149.8141,145.9623,149.6475,144.5850,1043817526.4902,871328079.0000
147.6583,147.0803,147.8006,147.1223,0.1163,0.8623,0.7460,77.6210,66.8410,67.5632,59.7344,12.6696,6.8588,161.3491,165.7576,40.0000,100.0000,100.0000,35.0000,149.2679,146.0488,149.4907,144.6698,1039709594.9826,866453340.0000
147.4344,147.0223,147.4161,146.8688,0.0227,0.7395,0.7169,70.1887,60.4620,59.6238,56.1668,11.4502,6.7324,149.2047,115.4372,0.0000,60.0000,0.0000,40.0000,148.4550,146.4138,149.2425,144.8021,1040124617.1601,858637089.0000
