SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
147.2846,148.0027,146.9956,147.1372,-0.5128,0.1853,0.6981,19.7329,23.9416,48.9047,51.8783,16.9175,8.4412,-50.6691,-69.8451,80.0000,40.0000,70.0000,90.0000,150.6732,143.8960,151.6501,144.3554,1045114391.8730,877214284.0000
147.6709,147.9331,146.9995,147.1539,-0.6127,0.2135,0.8263,17.7944,21.5135,39.9615,48.2030,17.9870,8.8429,-94.0279,-100.8842,90.0000,50.0000,75.0000,95.0000,151.6593,143.6824,151.7071,144.1591,1047452146.9668,872838486.0000
148.1932,147.9295,147.3087,147.3167,-0.5934,0.3860,0.9795,14.9722,13.7435,39.1980,47.9016,17.5619,8.9579,-117.0350,-95.8300,100.0000,60.0000,80.0000,0.0000,152.3295,144.0569,151.7125,144.1464,1046623790.9657,868903795.0000
148.6023,147.9293,147.7110,147.5080,-0.5161,0.6117,1.1278,24.1558,18.1263,47.0263,52.0887,17.0896,9.0789,-76.8377,-27.3197,90.0000,70.0000,85.0000,0.0000,152.3858,144.8188,151.7127,144.1459,1051334117.3471,875095595.0000
148.9414,147.7945,147.8496,147.5523,-0.5278,0.7290,1.2569,33.6541,13.0468,38.6131,48.8500,18.5576,9.4265,-168.0391,-63.8275,100.0000,80.0000,90.0000,5.0000,152.7289,145.1540,151.8692,143.7198,1050913674.3098,868134927.0000
149.2840,147.7869,148.2882,147.7288,-0.3972,0.9916,1.3888,51.0941,41.2942,39.6824,49.4487,19.8673,9.8557,-245.2632,-42.4477,100.0000,90.0000,95.0000,10.0000,152.4729,146.0952,151.8765,143.6972,1058090334.2942,876891769.0000
149.5290,147.7397,148.7735,147.8998,-0.1991,1.2890,1.4881,60.1478,46.6213,45.4442,52.5615,21.6148,10.2382,-122.6511,32.4846,100.0000,100.0000,100.0000,15.0000,151.9983,147.0598,151.9265,143.5528,1059786684.6849,884091834.0000
149.5548,147.6023,149.1084,147.9665,-0.0064,1.5315,1.5379,73.9669,65.3668,50.8067,55.2292,22.8956,10.2783,38.5919,79.1335,0.0000,80.0000,90.0000,20.0000,151.9328,147.1768,152.0163,143.1883,1065435501.0525,892764642.0000
149.4645,147.4822,149.3093,147.9414,0.1838,1.7233,1.5395,82.5661,68.4555,55.9986,57.6562,25.0657,10.6362,9.7480,70.3056,0.0000,90.0000,95.0000,0.0000,152.0959,146.8331,151.9545,143.0099,1059907009.0650,885882786.0000
149.2182,147.2237,149.3727,147.8275,0.3660,1.8596,1.4935,87.9646,88.0784,74.0915,64.8436,27.0654,10.7530,99.3570,123.5274,0.0000,100.0000,100.0000,5.0000,152.3766,146.0599,151.9026,142.5447,1061653456.2151,892192023.0000
