SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
115.4872,112.3566,115.2516,114.7597,0.0568,0.8318,-0.7750,74.8852,66.7443,54.1760,50.4507,16.9909,11.8013,17.0300,69.0239,0.0000,20.0000,20.0000,60.0000,112.2714,118.7031,120.2270,104.4862,404133872.7081,351437817.0000
115.0420,112.1325,115.1097,114.6407,-0.0281,0.9549,-0.9830,73.0802,80.1377,57.4262,51.8009,18.1951,12.4171,53.7455,90.5697,0.0000,30.0000,25.0000,65.0000,111.0366,119.0474,119.8413,104.4237,401884872.0927,347998169.0000
114.3284,111.9547,114.7452,114.4187,-0.2235,0.9982,-1.2217,63.8278,77.7737,58.6035,52.2957,18.7722,12.9307,70.1763,106.4061,10.0000,40.0000,30.0000,70.0000,109.3658,119.2909,119.3884,104.5209,406405186.8908,352604997.0000
113.8263,111.8619,114.2286,114.1396,-0.5023,0.9689,-1.4712,58.4850,61.3292,58.7730,52.3699,19.6405,13.5251,91.2116,116.0602,20.0000,50.0000,35.0000,0.0000,109.0629,118.5897,119.0811,104.6426,406995823.3194,356739452.0000
113.1831,112.1729,113.5861,113.8259,-0.8560,0.8575,-1.7135,61.3486,52.3804,53.6869,49.4953,20.5668,14.1429,62.5438,63.6159,0.0000,60.0000,40.0000,5.0000,108.6406,117.7256,120.6905,103.6553,403109072.0956,351446067.0000
112.3072,112.5684,113.2696,113.7012,-1.0800,0.8478,-1.9278,66.6104,61.7453,49.6317,47.3045,22.2952,14.8056,33.6915,18.5987,0.0000,70.0000,45.0000,10.0000,106.3530,118.2614,122.2337,102.9031,400489480.6380,346762555.0000
111.4660,113.0007,113.2229,113.7245,-1.1945,0.9452,-2.1398,69.5208,69.9202,57.7870,51.0737,24.7254,15.3527,111.9919,50.9898,0.0000,80.0000,50.0000,15.0000,104.1833,118.7486,123.5258,102.4757,402401480.3439,353263354.0000
110.2886,113.3592,112.5569,113.4618,-1.6023,0.7738,-2.3761,69.7468,68.1657,57.8807,51.1161,25.7025,15.9952,134.9348,43.6060,10.0000,90.0000,55.0000,20.0000,102.6622,117.9150,124.7510,101.9674,402743842.8650,357552955.0000
109.5135,113.6831,111.7362,113.1683,-2.1025,0.4670,-2.5696,72.8403,70.4764,55.7719,49.8245,26.8797,16.6968,162.3621,27.2537,20.0000,100.0000,60.0000,0.0000,102.9695,116.0575,125.7346,101.6316,398643916.6150,351930199.0000
109.0149,114.1537,110.9509,112.9471,-2.6106,0.0757,-2.6863,75.1132,70.5982,47.4111,44.9493,28.1877,17.4354,75.8457,-33.4924,30.0000,0.0000,65.0000,0.0000,103.6472,114.3826,127.1167,101.1907,406590001.7157,342938047.0000
109.2259,114.8543,110.7594,113.0665,-2.8690,-0.1638,-2.7052,77.9155,77.4462,46.4233,44.3930,29.4127,17.5527,70.4533,-36.2811,40.0000,10.0000,70.0000,0.0000,103.2982,115.1537,128.7187,100.9898,407848574.8803,348187218.0000
