SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
122.8083,123.2080,123.1779,122.8038,0.0193,0.5484,0.5291,46.3772,38.2576,65.9275,59.1834,20.5371,15.1728,179.4611,135.2185,90.0000,100.0000,20.0000,95.0000,125.7094,119.9073,125.8571,120.5588,474305073.2859,374353245.0000
122.3803,122.9937,122.4626,122.4256,-0.2678,0.2566,0.5243,32.1641,38.6372,45.0136,49.7787,18.9111,14.6399,-100.1117,-124.7401,100.0000,50.0000,25.0000,100.0000,124.0308,120.7299,125.2390,120.7485,469050424.2032,367760815.0000
122.5302,123.0341,122.6358,122.5038,-0.2310,0.3602,0.5913,36.2315,44.0036,44.4357,49.5709,20.5263,15.0084,-55.3977,-74.1909,40.0000,60.0000,30.0000,0.0000,124.1724,120.8880,125.2116,120.8566,467823237.4802,364605192.0000
122.6417,123.0045,122.8672,122.5995,-0.1526,0.4964,0.6490,47.5161,52.2343,54.5214,53.6995,22.0900,15.1504,49.3373,10.8211,50.0000,70.0000,35.0000,0.0000,124.1614,121.1219,125.2737,120.7353,471433273.1311,369433071.0000
122.6614,122.8215,122.7643,122.5226,-0.2010,0.4862,0.6872,48.2631,55.0006,52.1908,52.8084,21.9395,14.9511,14.4203,4.2295,60.0000,80.0000,40.0000,5.0000,124.2209,121.1018,125.5084,120.1345,469652090.5498,366333131.0000
122.6989,122.6572,122.7307,122.4812,-0.2291,0.5083,0.7374,60.9238,53.1363,49.5306,51.8014,21.9829,14.7820,-13.1549,3.9033,70.0000,0.0000,45.0000,10.0000,124.2986,121.0992,125.6816,119.6327,468979783.5153,362910477.0000
122.9483,122.6343,122.7947,122.4853,-0.2173,0.5774,0.7947,55.8148,38.3739,52.0845,52.8505,22.0311,14.6039,48.4881,52.1350,80.0000,0.0000,50.0000,15.0000,125.0191,120.8776,125.6718,119.5968,471094092.5004,366299164.0000
123.1564,122.5469,122.7700,122.4410,-0.2391,0.6099,0.8490,42.6705,25.3274,58.0451,55.2006,21.3112,14.2688,-0.2662,42.8530,90.0000,10.0000,55.0000,20.0000,125.5597,120.7531,125.6480,119.4458,473688395.0375,369276861.0000
123.2974,122.4929,122.5119,122.2842,-0.3707,0.5381,0.9088,16.6365,16.2011,44.0923,50.0920,21.1327,14.0524,-124.3265,-61.7386,100.0000,20.0000,60.0000,25.0000,126.0115,120.5834,125.5327,119.4531,470763438.3539,365206045.0000
123.4749,122.5427,122.7487,122.3723,-0.3098,0.6916,1.0015,16.6753,16.7492,44.0258,50.0705,23.3434,14.3318,-124.7891,-49.1154,100.0000,30.0000,65.0000,30.0000,125.8981,121.0517,125.5447,119.5407,469247632.0049,361820994.0000
123.6076,122.6680,123.0402,122.4708,-0.2004,0.8786,1.0789,15.2916,17.1774,47.5362,51.5230,25.4389,14.4985,-75.3579,-5.4843,0.0000,40.0000,70.0000,35.0000,125.6914,121.5239,125.6840,119.6520,470392867.9391,364382158.0000
123.6071,122.8244,123.2453,122.5081,-0.0939,1.0351,1.1290,18.2806,22.5104,53.5512,53.8457,26.8675,14.4982,-32.3565,19.4114,0.0000,50.0000,75.0000,40.0000,125.6923,121.5219,126.0286,119.6202,472863874.2811,368126107.0000
123.5381,122.8006,123.2594,122.4371,-0.0411,1.1114,1.1525,17.9599,30.1174,51.0749,52.9501,27.4433,14.3074,-25.8180,11.6251,0.0000,60.0000,80.0000,45.0000,125.7186,121.3575,126.0009,119.6003,472635115.9481,365243752.0000
123.3674,122.8155,123.3818,122.4085,0.0781,1.2409,1.1628,31.2907,45.8689,55.6958,54.6934,27.8531,14.0635,-2.8946,16.9539,0.0000,70.0000,85.0000,50.0000,126.0009,120.7339,126.0168,119.6143,475801924.4909,368580211.0000
122.9815,122.7282,123.3495,122.2908,0.1615,1.3047,1.1432,41.1015,62.5601,54.6275,54.2799,28.3315,13.8117,33.2688,42.4138,10.0000,80.0000,90.0000,55.0000,126.4170,119.5461,125.9423,119.5141,473879975.5738,365616458.0000
122.6155,122.5992,123.3626,122.1855,0.2884,1.3913,1.1029,65.2144,80.2817,64.3437,57.7648,27.8320,13.3417,96.7091,108.7707,20.0000,90.0000,95.0000,60.0000,126.5805,118.6504,125.9181,119.2803,476033298.9051,368787716.0000
122.3203,122.3387,123.0127,121.8959,0.2832,1.3139,1.0307,81.3644,87.7016,64.6536,57.8705,25.8718,12.5775,172.9301,171.6570,30.0000,100.0000,100.0000,0.0000,125.9776,118.6630,125.7002,118.9771,476523908.6639,372317893.0000
